"Cement..component.1..kg.in.a.m.3.mixture.","Blast.Furnace.Slag..component.2..kg.in.a.m.3.mixture.","Fly.Ash..component.3..kg.in.a.m.3.mixture.","Water...component.4..kg.in.a.m.3.mixture.","Superplasticizer..component.5..kg.in.a.m.3.mixture.","Coarse.Aggregate...component.6..kg.in.a.m.3.mixture.","Fine.Aggregate..component.7..kg.in.a.m.3.mixture.","Age..day.","y"
212.5,0,100.4,159.3,8.7,1007.8,903.6,56,42.55
289,0,0,192,0,913.2,895.3,7,14.6
427.5,47.5,0,228,0,932,594,28,37.43
102,153,0,192,0,887,942,3,4.57
249.1,0,98.8,158.1,12.8,987.8,889,56,42.03
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28,63.14
212.6,0,100.4,159.4,10.4,1003.8,903.8,3,13.33
237.5,237.5,0,228,0,932,594,90,33.12
531.3,0,0,141.8,28.2,852.1,893.7,3,41.3
166,259.7,0,183.2,12.7,858.8,826.8,28,37.92
427.5,47.5,0,228,0,932,594,90,41.54
134.7,0,165.7,180.2,10,961,804.9,28,13.29
144,136,106,178,7,941,774,28,26.14
165,0,143.6,163.8,0,1005.6,900.9,100,37.96
156,243,0,180,11,1022,698,28,37.36
310,0,0,192,0,970,850,28,27.92
155,183,0,193,9,877,868,28,23.79
379.5,151.2,0,153.9,15.9,1134.3,605,28,52.2
387,20,94,157,14.3,938,845,28,50.24
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.61
500,0,0,200,0,1125,613,1,12.64
491,26,123,210,3.9,882,699,7,33.49
213.5,0,174.2,159.2,11.7,1043.6,771.9,100,52.96
133,200,0,192,0,927.4,839.2,28,27.87
333,0,0,192,0,931.2,842.6,90,41.68
229.7,0,118.2,195.2,6.1,1028.1,757.6,14,22.32
213.5,0,174.2,159.2,11.7,1043.6,771.9,14,29.59
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,38.6
151,0,185,167,16,1074,678,28,13.46
200,133,0,192,0,965.4,806.2,90,43.25
170.3,155.5,0,185.7,0,1026.6,724.3,28,25.73
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,28.99
516,0,0,162,8.3,801,802,28,41.37
313,145,0,127,8,1000,822,28,44.52
162,190,148,179,19,838,741,28,33.76
250.2,166.8,0,203.5,0,977.6,694.1,90,47.71
331,0,0,192,0,1025,821,3,14.31
401.8,94.7,0,147.4,11.4,946.8,852.1,28,68.5
250.2,166.8,0,203.5,0,977.6,694.1,28,36.96
305.3,203.5,0,203.5,0,965.4,631,28,43.38
154,174,185,228,7,845,612,28,24.34
272.8,105.1,81.8,209.7,9,904,679.7,28,37.17
310,0,0,192,0,970,850,180,37.33
251.4,0,118.3,188.5,6.4,1028.4,757.7,100,44.21
480,0,0,192,0,936,721,90,54.28
139.6,209.4,0,192,0,1047,806.9,180,44.21
194.7,0,100.5,170.2,7.5,998,901.8,100,44.28
480,0,0,192,0,936.2,712.2,7,34.57
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71
249.1,0,98.8,158.1,12.8,987.8,889,3,15.36
264.5,111,86.5,195.5,5.9,832.6,790.4,28,41.54
339.2,0,0,185.7,0,1069.2,754.3,28,31.9
212.5,0,100.4,159.3,8.7,1007.8,903.6,3,13.54
194.7,0,100.5,165.6,7.5,1006.4,905.9,28,25.72
388.6,97.1,0,157.9,12.1,852.1,925.7,7,34.9
393,0,0,192,0,940,758,28,39.58
233.8,0,94.6,197.9,4.6,947,852.2,14,22.14
155,183,0,193,9,1047,697,28,18.28
277.1,0,97.4,160.6,11.8,973.9,875.6,100,55.64
230,0,118.3,195.5,4.6,1029.4,758.6,56,31.54
382,0,0,186,0,1047,739,28,37.42
148,0,137,158,16,1002,830,28,17.95
212.1,0,121.6,180.3,5.7,1057.6,779.3,100,39.61
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
424,22,132,168,8.9,822,750,28,72.1
288,192,0,192,0,932,717.8,28,38.8
540,0,0,173,0,1125,613,90,69.66
362.6,189,0,164.9,11.6,944.7,755.8,7,22.9
233.8,0,94.6,197.9,4.6,947,852.2,56,27.66
252.5,0,0,185.7,0,1111.6,784.3,7,11.48
525,0,0,189,0,1125,613,90,58.78
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77
262,111,86,195,5,895,733,28,33.72
277,0,0,191,0,968,856,360,33.7
210.7,316.1,0,185.7,0,977,689.3,28,37.81
333,17.5,163,167,17.9,996,652,28,47.28
288.4,121,0,177.4,7,907.9,829.5,28,42.14
350,0,0,186,0,1050,770,7,20.28
182,45.2,122,170.2,8.2,1059.4,780.7,14,21.5
313,145,0,178,8,1002,689,28,41.05
212,0,124.8,159,7.8,1085.4,799.5,28,38.5
151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.35
284,15,141,179,5.5,842,801,3,13.4
238.2,158.8,0,185.7,0,1040.6,734.3,28,26.91
307,0,0,193,0,968,812,3,12.54
296,0,107,221,11,819,778,28,31.42
275.1,0,121.4,159.5,9.9,1053.6,777.5,14,38.77
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.83
164.6,0,150.4,181.6,11.7,1023.3,728.9,28,18.03
150,237,0,174,12,1069,675,28,37.43
198.6,132.4,0,192,0,978.4,825.5,3,9.13
212.5,0,100.4,159.3,8.7,1007.8,903.6,14,26.31
290.4,0,96.2,168.1,9.4,961.2,865,56,45.08
255,0,0,192,0,889.8,945,7,10.22
146.5,114.6,89.3,201.9,8.8,860,829.5,28,19.99
359,19,141,154,10.9,942,801,56,68.75
485,0,0,146,0,1120,800,28,71.99
153.1,145,113,178.5,8,867.2,824,28,26.23
475,0,0,228,0,932,594,180,42.62
286.3,200.9,0,144.7,11.2,1004.6,803.7,91,76.8
203.5,305.3,0,203.5,0,963.4,630,28,41.68
238,0,0,186,0,1119,789,28,17.54
376,0,0,214.6,0,1003.5,762.4,14,25.62
236,0,0,193,0,968,885,365,25.08
251.8,0,99.9,146.1,12.4,1006,899.8,100,45.37
143,169,143,191,8,967,643,28,29.72
153,102,0,192,0,888,943.1,7,8.37
325.6,166.4,0,174,8.9,881.6,790,28,61.24
331,0,0,192,0,978,825,7,16.26
252.3,0,98.8,146.3,14.2,987.8,889,100,60.95
355,19,97,145,12.3,967,871,28,55.45
164,0,200,181,13,849,846,28,15.09
339,0,0,185,0,1069,754,7,21.16
165,0,143.6,163.8,0,1005.6,900.9,14,16.88
446,24,79,162,10.3,967,712,56,54.77
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4
218.9,0,124.1,158.5,11.3,1078.7,794.9,100,46.23
190.7,0,125.4,162.1,7.8,1090,804,100,40.57
237,92,71,247,6,853,695,28,28.63
190.3,0,125.2,161.9,9.9,1088.1,802.6,28,28.47
318.8,212.5,0,155.7,14.3,852.1,880.4,28,55.5
500,0,0,200,0,1125,613,7,33.21
266,114,0,228,0,932,670,270,51.73
331,0,0,192,0,978,825,3,13.52
249.1,0,98.8,158.1,12.8,987.8,889,100,51.06
277.1,0,97.4,160.6,11.8,973.9,875.6,28,48.28
310,0,0,192,0,1012,830,28,27.83
531.3,0,0,141.8,28.2,852.1,893.7,28,56.4
382.5,0,0,185.7,0,1047.8,739.3,7,24.07
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
342,38,0,228,0,932,670,180,52.12
500.1,0,0,200,3,1124.4,613.2,28,44.13
331,0,0,192,0,978,825,180,39
393,0,0,192,0,940,758,3,19.11
181.4,0,167,169.6,7.6,1055.6,777.8,3,13.62
200,0,0,180,0,1125,845,7,7.84
500,0,0,200,0,1125,613,3,26.06
166.1,0,163.3,176.5,4.5,1058.6,780.1,100,33.54
350,0,0,186,0,1050,770,28,34.29
525,0,0,189,0,1125,613,14,48.4
388.6,97.1,0,157.9,12.1,852.1,925.7,28,50.7
165,0,143.6,163.8,0,1005.6,900.9,28,26.2
349,0,0,192,0,1047,806.9,3,15.05
540,0,0,173,0,1125,613,14,59.76
374,189.2,0,170.1,10.1,926.1,756.7,7,46.2
339,0,0,185,0,1060,754,28,31.65
260,101,78,171,10,936,763,28,49.77
342,38,0,228,0,932,670,270,55.06
313.3,145,0,178.5,8,867.2,824,28,40.93
387,20,94,157,11.6,938,845,7,41.67
401.8,94.7,0,147.4,11.4,946.8,852.1,56,73.7
238,0,0,185,0,1118,789,28,17.54
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.23
218.9,0,124.1,158.5,11.3,1078.7,794.9,14,26.05
144,15,195,176,6,1021,709,28,15.34
229.7,0,118.2,195.2,6.1,1028.1,757.6,100,40.86
200,200,0,190,0,1145,660,28,49.25
332.5,142.5,0,228,0,932,594,90,37.72
425,106.3,0,151.4,18.6,936,803.7,3,36.3
277.1,0,97.4,160.6,11.8,973.9,875.6,3,23.14
159,209,161,201,7,848,669,28,30.88
155.6,243.5,0,180.3,10.7,1022,697.7,28,37.36
183.9,122.6,0,203.5,0,959.2,800,90,32.53
289,0,0,192,0,913.2,895.3,3,11.65
250,0,95.7,187.4,5.5,956.9,861.2,100,42.35
141.3,212,0,203.5,0,971.8,748.5,3,4.83
525,0,0,189,0,1125,613,7,42.42
298,0,107,210,11,880,744,28,31.87
313,161,0,178,10,917,759,28,52.44
153,145,0,178,8,1000,822,28,19.01
275.1,0,121.4,159.5,9.9,1053.6,777.5,28,51.33
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
249.1,0,98.8,158.1,12.8,987.8,889,14,28.68
401.8,94.7,0,147.4,11.4,946.8,852.1,3,41.1
238.1,0,94.1,186.7,7,949.9,847,28,30.23
164.2,0,200.1,181.2,12.6,849.3,846,28,15.09
401.8,94.7,0,147.4,11.4,946.8,852.1,7,54.1
213.8,98.1,24.5,181.7,6.7,1066,785.5,14,17.84
230,0,118.3,195.5,4.6,1029.4,758.6,14,20.08
254,0,0,198,0,968,863,90,26.94
246.8,0,125.1,143.3,12,1086.8,800.9,28,52.5
202,11,141,206,1.7,942,801,3,9.85
424,22,132,178,8.5,822,750,7,39
284,15,141,179,5.5,842,801,56,44.52
290.2,193.5,0,185.7,0,998.2,704.3,7,21.86
165,128.5,132.1,175.1,8.1,1005.8,746.6,28,46.39
213.8,98.1,24.5,181.7,6.7,1066,785.5,3,13.18
212.5,0,100.4,159.3,8.7,1007.8,903.6,28,31.64
252,0,0,186,0,1111,784,7,11.47
300,0,0,184,0,1075,795,28,26.85
236,0,0,193,0,968,885,180,24.1
296,0,0,192,0,1085,765,90,29.39
321,0,128,182,11,870,780,28,37.26
318.8,212.5,0,155.7,14.3,852.1,880.4,3,25.2
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51
284,119.7,0,168.3,7.2,970.4,794.2,28,40.93
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
332.5,142.5,0,228,0,932,594,180,39.78
236,0,0,194,0,968,885,14,12.84
213.8,98.1,24.5,181.7,6.7,1066,785.5,28,40.23
525,0,0,189,0,1125,613,3,33.8
133.1,210.2,0,195.7,3.1,949.4,795.3,28,28.94
480,0,0,192,0,936,721,28,43.89
446,24,79,162,11.6,967,712,28,51.02
153.1,145,113,178.5,8,1001.9,688.7,28,25.56
505,0,60,195,0,1030,630,28,64.02
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100,66.95
310,0,0,192,0,971,850.6,3,9.87
