"AT","V","AP","RH","y"
11.99,49.83,1008.33,95.2,468.22
6.77,38.18,1017.8,81.13,484.31
23.7,70.04,1011.13,84.16,436.28
31.07,73.5,1010.58,43.66,432.06
17.7,38.52,1020.15,69.8,455.5
19.87,49.69,1012.23,68.57,456.03
20.77,60.1,1011.11,81.09,450.32
29.38,69.68,1011.35,49.25,430.2
12.72,39.13,1008.36,92.59,467.28
24.31,63.86,1019.47,58.54,442.69
21.28,70.32,1011.06,90.12,439
28.32,71.64,1004.73,72.71,436.31
12.73,44.34,1015.11,93.55,472.94
22.26,69.04,1010.48,84.33,444.73
18.3,37.2,1012.23,68.09,470.42
23.1,51.3,1011.93,80.05,452.17
24.97,54.2,1012.68,74.25,439.71
15.11,56.03,1020.27,89.95,462.65
31.19,69.68,1012.6,52.06,440.97
11.98,39.35,1014.97,98.05,472.43
10.34,41.74,1020.07,79.17,480.84
28.07,68.08,1013.13,44.67,437.65
14.77,49.15,1020.56,80.27,467.72
22.52,64.27,1014.34,82.77,445.4
21.31,69.05,1002.46,73.42,440.97
6.81,38.56,1016.5,70.99,487.45
10.05,41.58,1021.35,95.19,469.03
27.6,67.25,1017.78,54.25,438.42
22.95,67.79,1009.89,91.69,442.19
25.11,67.32,1014.49,58.39,441.93
21.3,66.86,1013.04,55.43,450.56
21.67,69.71,1010.46,96.83,440.16
9.73,38.56,1017.18,61.81,479.78
29.23,72.99,1007.04,63.47,431
11.83,45.09,1013.11,88.52,470.32
9.44,40,1015.62,81.16,471.32
25.3,58.46,1015.91,69.71,439.25
31.11,71.8,1010.81,56.08,437.2
16.71,42.99,1007.72,75.35,465.09
15.61,41.2,1016.12,75.28,467.81
6.79,38.5,1012.61,72.46,488.69
29.53,64.44,1013.22,59.75,440.1
25.16,60.23,1011.21,68.31,444.98
26.46,74.67,1016.65,84.44,431.65
26.31,71.29,1009.87,84.16,432.92
13.98,54.3,1015.58,74.91,466.52
11.1,40,1021.29,86.58,477.2
19.3,44.9,1008.89,70.55,452.75
21.54,66.54,1004.99,92.87,440.8
13.48,40.73,1017.59,94.81,463.6
29.5,71.14,1011.27,52.81,430.85
10.37,40.03,1017.47,90.47,477.91
8.61,37.49,1009.35,82.62,477.13
16.06,47.45,1009.97,88.09,450.62
31.14,67.32,1013.93,38.37,436.64
13.35,40.27,1005.83,49.75,474.68
13.91,44.58,1021.36,78.98,472.67
15.61,38.52,1018.4,80.99,439.21
17.73,40.55,1003.36,74.62,462.69
15.03,44.45,1020.94,65.57,460.06
27.38,74.16,1010.08,78.61,436.65
31.77,76.09,1007.4,73.36,431.69
10.48,40,1021.35,88.52,478.86
25.64,68.08,1011.06,71.06,431.77
11.02,41.26,1020.69,92.13,471.93
7.87,42.85,1012.18,94.21,480.54
8.14,39.96,1023.41,88.86,477.05
11.67,37.73,1021.2,68.88,473.54
14.63,41.23,998.96,86.4,466.36
14.33,42.86,1010.82,88.59,469.52
26.3,61.41,1012.45,56.85,448.55
23.55,65.12,1016.23,66.65,446.44
21.49,68.28,1004.68,80.64,438
21.92,66.54,1012.49,79.82,443.03
24.54,44.89,1010.05,59.13,445.11
14.95,43.72,1010.28,93.62,459.31
29.12,67.32,1014.21,48.8,435.2
27.37,70.72,1009.77,67.87,441.9
9.2,39.99,1011.73,85.95,484.04
21.97,58.12,1014.21,85.93,448.91
6.5,41.14,1028.15,86.78,480.96
28.5,71.32,1002.54,69.35,435.7
14.87,35.71,1015.53,57.7,468.75
5.78,45.87,1012.65,88.8,483.27
18.39,38.52,1019.66,66.93,453.89
11.27,40.62,1017.03,61.94,471.26
25.16,77.3,1000.73,86.4,439.37
21.16,45.38,1014.65,73.06,458.63
28.18,77.54,1011.99,74.72,430.55
13.41,54.3,1016.48,79.28,467.88
26.18,68.08,1012.92,55.7,436.51
22.61,42.8,1014.24,69.71,460.26
22.26,70.47,1008.32,84.22,440.21
15.09,43.13,1015.71,54.36,466.87
28.59,75.08,1005.58,60.3,442.7
11.34,41.54,1020.25,75.83,477.24
6.16,39.48,1004.85,59.68,484.55
5.68,40.77,1022.49,90.6,487.58
25.28,72.39,1002.28,89.43,432.52
25.94,66.49,1012.83,61.81,433.38
26.65,74.67,1015.73,77.32,435.9
12.88,44.34,1016.03,88.51,474.94
12.09,40.6,1013.85,85.72,474.35
7.47,40.64,1020.47,94.8,478.08
21.31,58.66,1012.67,69.36,451.96
6.3,39.33,1010.63,94.26,489.95
10.61,37.5,1008.8,100.13,472.9
27.95,73.5,1010.42,58.01,435.45
10.19,37.14,1012.74,73.48,475.01
28.07,66.17,1010.58,64.11,443.77
23.56,71.85,1009.67,74.78,439.48
12.29,40.03,1017.62,89.64,472.65
11.02,43.02,1012.32,66.54,478.81
26.54,66.51,1015.39,51.22,440.04
16,40.66,1016.12,89.23,457.12
29.55,72.29,1007.94,84.45,430.98
25.86,59.07,1008.59,81.28,440.9
12.85,40.92,1023.04,84.04,461.05
13.49,41.78,1010.66,63.34,467.92
13.42,40.92,1022.84,75.89,458.49
8.48,36.18,1013.31,75.15,480.63
27.04,65.06,1013.33,52.37,439.84
33.75,64.96,1002.54,39.28,432.62
8.48,42.49,1010.77,88.68,483.5
24.92,73.68,1015.12,93.68,438.23
8.49,43.69,1016.93,85.63,483.62
16.09,65.46,1013.84,85.52,454.88
30.76,69.14,1007.63,71.24,431.67
31.18,70.36,1006.38,56.74,438.46
26.68,68.08,1011.41,67.33,433.04
27.75,77.24,1007.48,78.37,433.57
13.2,45.01,1013.96,78.78,466.71
29.71,73.18,1012.35,63.06,427.04
22.44,63.47,1012.02,91.08,444.65
26.96,72.86,1004.86,59.17,441.12
29.29,70.02,1010.13,46.93,438.84
15.38,43.99,1022.42,83.41,462.48
19.7,54.42,1011.83,89.86,450.48
25.6,59.15,1013.31,67.02,441.11
19.48,58.66,1013.32,73.16,454.4
13.28,43.8,1023.17,63.98,466.78
25.23,66.44,1011.37,51.3,438.28
10.45,41.01,1020.57,93.84,465.74
28.55,69.84,1003.38,67.26,432.7
10.87,38.38,1020.85,69.78,477.03
13.32,38.73,1005.37,88.48,472.33
10.42,39.35,1015.21,89.75,478.52
26.07,69.23,1013.32,54.03,436.94
10.03,42.18,1017.3,85.99,475.74
14.38,40.66,1016.34,92.37,463.1
28.05,62.6,1017.01,46.46,449.73
33.79,69.05,1001.62,40.13,435.1
19.18,58.2,1017.46,76.72,453.2
11.02,41.44,1015.28,83.53,476.68
26.31,72.39,1001.16,88.43,434.53
23.86,63.77,1014.6,82.37,440.58
23.27,68.28,1005.01,74.83,444.86
30.2,56.9,1006.89,42.69,436.17
22.84,50.05,1005.59,79.49,442.85
16.92,44.6,1017.34,58.75,460.17
23.71,68.63,1014.54,46.04,449.41
15.24,37.87,1020.52,84.49,463.09
20.76,58.18,1007.8,99.22,449.25
25.13,57.69,1007.43,78.43,437.8
16.8,56.03,1020.65,85.26,461.96
11.94,39.28,1017.04,89.88,475.59
15.76,44.89,1010.33,85.06,459.67
13.51,43.41,1015.94,75.22,463.86
16.66,41.16,1007.37,76.82,463.39
18.51,58.46,1017.21,88.1,448.39
14.87,38.28,1014.65,80.24,467.29
19.83,51.43,1007.36,91.64,449.45
19.64,44.6,1015.88,47.56,467.53
26.43,58.41,1013.57,64.67,444.74
27.27,72.58,1009.25,89.31,428.93
6.86,41.17,1020.12,79.14,490.23
12.39,49.83,1007.6,92.43,468.43
18.14,43.56,1012.83,47.1,461.71
17.98,60.1,1009.61,84.11,452.57
15.34,41.23,996.87,86.56,465.16
14.26,40.92,1022.07,73.96,460.38
34.66,74.33,1012,32.19,425.89
12.35,41.38,1021.99,55.38,474.94
8.19,40.69,1019.86,85.23,477.76
25.28,71.94,1006.73,86.69,432.26
27.55,63.13,1012.92,71.29,440.75
31.74,72.58,1007.26,59.58,425.12
14.04,40.56,1018.4,65.79,472.98
29.17,72.99,1006.86,64.92,430.59
32.45,44.37,1005.05,44.37,429.81
4.97,38.91,1018.99,89.86,489.96
11.77,40.92,1021.85,81.55,467.31
32.39,79.74,1006.92,58.58,430.12
13.98,39.18,1009.61,89.12,467.97
29.87,73.68,1015.1,40.96,433.43
13.85,44.9,1019.11,76.79,467.2
27.25,73.03,1014.15,68.52,439.78
19.22,62.1,1019.43,79.19,451.8
6.94,39.61,1017.74,81.43,480.07
18.55,41.85,1015.24,62.47,467.51
17.89,42.42,1008.92,65.08,467.59
10.29,40.56,1017.28,69.13,481.7
12.51,41.92,1031.21,64.66,468.41
29.29,73.18,1012.4,66.65,430.31
20.04,48.92,1011.14,68.92,447.89
22.38,49.3,1003.56,83.83,441
10.09,41.01,1019.89,96.55,471.15
28.07,70.32,1007.17,67.02,430.29
13.18,43.8,1023.18,61.21,467
15.43,39.64,1008.58,87.99,464.05
11.7,25.36,1008.65,92.11,470.88
20.16,57.76,1019.34,72.1,455.13
20.8,69.45,1013.7,82.48,443.77
26.92,67.25,1017.74,61.68,434.05
32.06,69.88,1006.88,63.53,432.47
17.18,40.55,1000.47,72.03,461.73
15.62,58.59,1013.91,97.6,457.3
22.62,51.3,1012.36,81.02,448.27
14.52,44.84,1023.51,88.51,466.88
30.75,73.88,1005.62,57.95,436.97
24.85,68.37,1006.5,68.37,442.66
6.76,37.49,1011.66,80.91,484.85
10.27,40.64,1020.63,84.6,474.99
13.87,38.01,1022.61,84.22,473.39
22.85,60.08,1018.05,67.12,452.5
25.09,58.95,1016.99,53.16,443.26
13.15,42.44,1014.51,99.53,469.34
23.45,45.61,1012.84,73.42,454.92
24.04,72.43,1008.02,87.2,439.39
14.04,44.21,1021.93,86.12,468.64
15.78,41.48,1015.55,52.17,454.25
26.42,59.54,1007.02,76.28,438.5
18.68,43.69,1016.68,48.88,463.02
30.47,70.02,1009.65,62.03,435.72
22.32,48.41,1008.68,79.11,445.36
33.2,70.8,1008.75,59.41,430.71
20.39,64.15,1021.31,62.35,457.37
27.23,49.16,1004.03,40.8,443.78
23.85,74.22,1009.99,82.72,441.66
13.18,52.72,1024.67,75.96,468.36
19.12,50.16,1011.52,99.71,451.49
23.19,42.67,1007.83,63.31,446.95
11.06,37.92,1008.76,67.32,473.16
25.92,50.16,1003.95,71.3,440.98
12.8,42.18,1016.27,83.9,467.69
27.71,70.32,1008.63,64.05,432.59
25.38,70.94,1007.87,73.59,446.31
22.44,63.86,1020,64.83,447.3
17.83,44.92,1025.04,70.58,458.42
21.06,67.07,1004.9,84.09,446.44
23.68,68.3,1017.93,84.16,438.65
15.84,41.04,1025.64,63.43,456.21
9.66,41.82,1033.19,73.19,477.67
15.14,49.64,1023.78,75,463.58
10.35,38.38,1020.77,74.55,477.76
15.35,41.79,1008.38,81.13,455.54
21.5,59.87,1019.05,76.56,444.05
31.71,73.5,1010.63,40.17,430.45
14.15,39.28,1013.5,77.63,471.23
17.66,44.9,1020.5,71.33,457.11
12.07,43.71,1025.53,85.62,472.32
21.95,68.08,1012.91,69.36,443.93
17.89,44.78,1010.03,53.78,457.74
21.41,54.2,1011.37,82.28,448.11
3.69,38.44,1016.74,82.87,490.78
26.17,48.92,1009.87,34.43,440.09
28.22,76.2,1006.11,62.17,437.62
13.51,44.9,1019.29,77.24,464.86
27.94,63.07,1010.75,38.57,441
7.04,39.37,1019.37,69.11,488
17.9,52.08,1006.41,100.09,451.94
18.02,49.78,1003.86,100.09,451.41
12.79,41.62,1010.52,81.83,466.91
8.07,41.17,1019.4,86.43,484.54
20.4,54.9,1016.68,64.26,452.56
6.17,41.31,1002.49,87.59,481.27
16.03,41.23,996.35,82.04,464.67
11.34,45.17,1018.32,96.24,472.13
26.52,73.21,1002.3,95.38,437.02
19.76,58.79,1017.37,89.09,449.76
4.96,39.4,1003.58,92.22,486.09
32.21,68.14,1003.34,62.44,426.56
10.25,41.46,1020.65,87.07,481.94
11.25,40.67,1011.64,63.54,480.49
29.82,43.21,1011.52,63.54,433.31
23.49,49.3,1003.35,77.96,442.76
12.12,38.28,1013.7,91.27,469.59
25.35,65.18,1012.67,70.36,438.17
26.88,61.5,1009.17,61.26,440.13
7.71,40.77,1021.93,87.04,482.19
24.46,61.9,1013.88,87.16,441.34
30.48,70.04,1010.73,53.7,429.85
23.77,69.13,1011.05,89.41,434.08
20.88,59.8,1015.66,75.34,453.18
13.31,40.1,1014.81,82.11,468.74
6.86,42.49,1007.95,93.96,486.14
23.77,59.21,1011.97,80.08,440.08
10.37,39.04,1023.95,81.93,479.35
16.96,46.36,1019.91,89.11,460.57
22.49,62.96,1020.21,78.99,447.48
24.34,73.5,1011.31,84.15,440.29
19.51,44.05,1008.52,78.38,451.7
16,48.78,1013.9,88.64,458.27
29.01,68.08,1010.74,52.51,427.91
25.74,63.73,1010.88,70.87,441.9
17.29,52.72,1024.71,62.32,467.23
12.36,52.75,1026.04,68.71,465.14
13.52,42.34,1017.97,95.34,463.71
27.37,63.73,1009.79,65.25,437.24
28.53,76.86,999.08,75.77,431.64
13.83,42.86,1030.77,75.09,470.21
34.3,74.67,1015.98,25.89,427.84
16.73,65.94,1013.79,90.19,453.39
2.64,39.64,1011.02,85.24,481.29
23.33,58.95,1017.93,66.37,442.71
11.97,41.04,1026.42,70.75,468.81
10.23,43.72,1011.18,97.93,471.61
19.12,45.01,1014,59.95,453.24
14.82,42.74,1028.04,69.81,466.34
16.23,43.72,1009.96,83.01,457.9
18.86,51.43,1010.27,86,446.91
23.21,62.44,1011.78,76.66,442.47
26.03,70.32,1008.81,71.35,438.15
26.09,70.4,1007.41,85.37,432.52
23.32,69.13,1010.75,91.84,435.27
5.7,40.35,1012.18,91.57,488.8
18.92,67.71,1008.19,64.53,446.77
16.85,41.35,1006.14,79.21,463.37
8.9,40.77,1011.67,90.26,479.18
6.23,40.96,1022.49,93.15,488.82
9.81,71.14,1019.43,87.93,469.64
9.88,39.66,1017.81,76.05,480.05
27.06,64.45,1008.72,54.21,443.1
20.76,57.25,1011.01,90.31,444.85
14.66,41.66,1012.89,62.41,466.87
22.72,64.15,1021.14,60.34,453.13
6.02,43.65,1013.85,83.53,481.92
26.95,70.79,1004.09,75.35,430.07
24.88,49.16,1006.04,64.54,445.18
25.54,60.37,1006.49,71.54,436.14
4.97,40.64,1020.91,94.28,485.43
24.93,70.32,1007.34,61.25,436.03
13.63,43.5,1022.12,84.32,468.28
13.17,38.91,1016.55,74.47,470.63
17.49,63.94,1020.02,82.6,452.71
14.68,43.99,1023.36,86.79,461.91
7.64,39.85,1012.78,88.09,481.53
13.44,39.64,1013.23,73.43,474.79
11.95,41.58,1015.83,89.35,464.57
7.74,39.96,1025.78,95.81,475.23
26.94,65.61,1014.31,49.73,443.9
24.62,68.31,1010.45,75.18,448.58
11.64,40.1,1015.5,87.05,477.2
29.23,75.6,1017.72,52.26,438.92
11.38,39.22,1018.62,57.14,473.71
14.13,40.75,1016.05,72.41,471.44
26.38,65.12,1016.1,47.57,441.07
24.51,62.08,1022.58,57.44,447.04
15.93,25.88,1009.45,72.83,462.7
9,39.18,1024.38,84.91,483.26
25.89,58.86,1014.16,52.95,445.17
7.78,40.8,1026.7,85.61,488.54
27.22,69.04,1008.89,70.62,440.85
23.24,63.76,1010.1,79.16,441.35
9.46,36.66,1026.22,72.58,479.06
27.96,77.24,1007.23,78.51,433.35
14.13,43.41,1015.26,55.63,461.96
25.23,60.84,1017.79,56.42,442.02
16.36,43.99,1021.34,85.13,465.81
30.12,74.16,1013.13,63.56,433.08
15.03,40.66,1016.58,84.08,459.46
17.46,39.54,1008.21,74.24,462.52
19.75,57.32,1010.76,79.29,443.63
17.35,39.72,1003,64.62,459.83
14.99,41.35,1004.56,98.9,466.85
14.38,44.84,1024.59,81.68,471.6
9.02,38.08,1019.02,69.98,478.32
18.16,43.72,1008.64,75.22,454.98
31.35,71.32,1005.99,62.35,434.43
19.8,52.9,1017.75,66.67,456.64
12.07,38.25,1012.67,81.66,470.36
11.49,44.2,1018.79,91.14,475.51
22.51,59.21,1018.35,71.97,444.66
20.68,42.04,1010.2,63.43,464.14
5.52,42.85,1012.77,93.82,478.98
31.31,64.44,1014.24,51.08,438.14
24.2,59.43,1009.69,62.3,440.66
29.76,73.56,1008.07,84.85,432.51
16.51,41.79,1007.1,74.03,457.74
27.15,73.9,1007.57,74.42,433.09
29.67,66.51,1015.6,34.1,434.8
29.23,69.59,1009,71.41,437.95
16.44,53.82,1015.4,63.16,462.09
8.34,40.96,1023.28,89.45,483.92
16.01,43.69,1017.12,62.43,465.89
23.48,72.99,1009.61,88.16,437.1
15.22,41.35,1003.12,95.45,464.56
11.41,41.4,1019.01,78.59,449.5
24.31,65.94,1011.5,61.61,442.69
14.38,45.09,1012.95,86.1,464.27
26.63,74.16,1009.72,83.26,436.03
31.9,69.4,1003.4,57.76,436.04
26.78,52.3,1008.52,61.23,441.21
20.27,63.09,1016.6,90.7,446.75
21.41,50.32,1008.61,84.47,443.63
32,71.85,1008.44,53.59,427.95
12.55,38.91,1012.58,75.44,474.35
20.79,65.59,1014.9,77,450.3
15.67,41.1,1004.1,77.93,466.45
12.31,40.64,1020.71,94.6,475.65
12.12,41.17,1017.68,78.72,470.67
14.08,43.41,1015.59,54.15,466.99
13.33,38.47,1015.42,58.27,466.26
9.66,40.05,1015.78,89.06,481.14
18.39,52.08,1006.53,100.09,449.96
24.71,60.77,1016.67,69.7,443.52
13.93,42.86,1032.37,71.11,468.88
28.26,63.13,1012,68.35,440.58
22.47,59.43,1006.02,85.21,444.5
34.62,69.05,1000.68,38.35,425.41
24.6,67.69,1008.67,67.69,440.22
20.53,54.9,1016.61,61.28,454.67
10.06,39.61,1020.87,74.01,476.92
24.06,58.98,1010.66,81.16,443.75
8.14,36.24,1013.15,87.85,480.25
26.7,49.02,1007.68,67.97,438.92
6.43,36.08,1022.73,85.03,486.39
28.37,67.07,1005.65,56.13,435.94
14.44,40.1,1015.51,79.78,468.19
12.74,44.03,1007.62,97.64,463.96
30.15,72.51,1009.37,50.64,443.72
15.62,40.89,1007.01,79.21,466.15
25.82,59.43,1008.08,65.25,436.67
25.15,71.14,1011.68,70.33,434.99
10.99,44.63,1020.67,90.09,473.29
23.62,56.85,1011.11,64.44,442.96
19.89,51.43,1007.38,91.79,448.85
7.97,38.5,1013.84,72.36,487.19
27.47,69.98,1008.53,58.72,431.11
12.23,41.58,1018.76,87.66,464.45
27.98,67.17,1007.32,75.29,440.68
22.86,62.4,1010.59,78.24,445.66
18.81,49.15,1020.79,67.09,459.81
16.97,39.16,1005.7,69.13,458.59
23.36,74.93,1016.57,71.91,443.78
9.28,41.54,1018.33,79.89,482.8
6.63,39.42,1024.81,72.58,482.02
7.32,39.42,1026.15,76.51,476.12
19.67,59.39,1014.07,77.67,447.61
23.74,72.43,1007.99,91.36,437.55
16.61,43.77,1012.25,77.23,457.66
13.18,43.72,1010.59,99.09,464.7
30.2,74.34,1004.17,74.77,431.77
21.92,58.79,1010.09,89.7,446.71
8.69,40.81,1026.19,86.25,484.55
14.98,43.99,1022.66,83.34,462.32
22.97,72.24,1011.15,95.85,437.41
11.37,39.16,1016.54,87.05,480.54
29.1,77.95,1010.01,71.48,431.28
19.75,54.2,1011.43,83.5,448.89
13.75,40.89,1011.21,82.8,471.42
29.2,64.84,1009.94,55.37,441.9
25.41,48.06,1013.12,46.52,444.01
22.82,60.08,1017.95,65.71,450.86
5.96,36.25,1029.4,88.63,488.2
25.79,65.27,1013.26,55.35,440.04
12.03,40.1,1015.32,85.39,474.94
8.02,41.92,1029.8,92.05,467.21
20.13,60.07,1014.79,63.57,453.49
17.34,46.48,1007.18,83.15,452.06
17.42,44.06,1016.63,82.15,456.57
32.41,72.86,1003.69,58.04,432.75
22.06,45.61,1014.3,77.75,455.61
27.33,52.84,1005.88,56.16,438.97
9.99,36.71,1023.57,83.53,475.85
12.32,43.69,1016.26,83.18,471.6
10.47,41.06,1022.24,81.16,477.47
10.75,40.81,1015.93,79.27,474.71
22.77,69.84,1005.75,84.26,436.75
21.45,60.84,1017.86,82.8,444.99
16.11,44.92,1025.37,79.85,460.99
18.99,56.65,1020.46,77.16,457.55
12.31,41.06,1021.19,74.38,475.76
25.54,61.08,1013.77,69.64,448.57
15.99,43.5,1021.34,73.22,460.7
12.49,38.25,1012.61,83.32,470.63
33.4,70.8,1009.17,57.01,432.46
18.67,58.46,1016.73,87.7,447.16
9.83,41.17,1019.34,72.29,478.21
10.8,40.22,1011.25,84.57,478.21
25.69,59.54,1004.05,81.69,439.06
25.88,74.67,1016.66,81.09,434.81
24.47,58.05,1011.27,71.7,446.93
29.09,70.98,1007.86,80.35,439.34
26.93,56.9,1006.25,77.79,444.7
14.43,35.85,1021.99,78.25,464.6
25.02,59.92,1009.9,76.27,436.64
31.12,69.13,1009.61,56.54,429.41
12.51,41.14,1027.36,87.86,463.79
29.42,69.14,1007.32,75.04,437.75
15.37,43.34,1014.84,80.37,460.02
14.47,48.14,1017.28,87.36,457.45
28.8,71.58,1010.51,59.87,434.82
17,45.09,1013.52,88.32,458.94
7.9,40,1018.74,79.55,474.5
30.44,56.24,1005.19,56.24,429.34
18.8,44.71,1016.56,31.29,459.85
28.12,44.89,1009.18,47.14,441.13
27.39,66.93,1017.16,53.75,441.04
20.85,48.7,1007.11,87.2,449.57
10.59,41.46,1016.87,85.7,480.83
4.27,39.64,1010.99,84.85,487.19
23.15,69.48,1011.07,85.83,436.16
25.16,57.17,1009.86,75.7,442.03
23.82,63.76,1009.8,68.94,440.52
25.86,61.08,1013.51,67.5,449.67
16.3,41.16,1007.88,76.61,463.47
28.76,60.23,1010.03,58.24,437.42
18.21,62.26,1011.97,87.28,455.88
13.32,44.2,1020.02,78.78,465.57
32.83,74.16,1007.57,60.2,432.05
20.41,50.32,1008.45,93.12,447.06
13.67,42.32,1015.41,79.04,464.56
19.83,63.94,1019.81,75.05,448.03
13.57,39.39,1014.01,82.12,471.44
8.53,43.14,1012.25,78.88,480.08
26.89,70.32,1012.39,87.17,435.56
8.48,40.05,1015.89,90.25,483.5
14.12,42.99,1007.13,78.16,468.45
26.85,66.86,1006.78,69.4,438.26
10.59,41.93,1017.7,92.91,479.85
23.39,68.51,1013.09,78.6,438.35
32.27,71.85,1008.06,59.28,429.72
18.8,39.72,1001.24,63.8,459.36
23.96,46.93,1013.98,47.22,450.86
11.74,40.71,1020.64,82.15,470.05
23.35,71.77,1005.99,90.79,434.6
24.41,58.59,1012.62,64.52,442.64
27.18,64.79,1016.27,63.7,443.87
22.61,54.42,1014.74,75.87,453.86
26.69,59.21,1012.55,57.59,436.33
9.52,40.96,1023.48,86.49,483.59
11.26,39.35,1015.47,99.28,471.83
8.85,41.06,1020.99,86.05,486.4
25.67,68.3,1017.16,74.19,435.89
11.01,37.5,1015.08,73.36,474.36
16.37,36.99,1006.37,90.11,463.76
20.21,59.14,1016,70.38,448.79
20.06,60.77,1017.19,88.73,447.35
24.33,68.08,1013.02,64.81,442.93
28.29,69.13,1009.29,58.18,429.28
30.74,73.67,1005.79,57.89,428.92
23.59,58.62,1017.81,66.68,448.09
14.77,44.47,1028.38,71.18,464.25
13.58,40.75,1016.05,76.45,472.73
30.26,76.2,1008.44,62.1,435.04
18.1,45,1023.05,48.41,465.46
20.55,63.86,1015.12,73.98,447.54
3.99,39.9,1009.74,96.81,490.91
12.53,43.56,1014.8,74.05,469.23
30.02,68.24,1009.8,65.73,429.5
14.36,40,1016.16,68.79,460.42
25.74,59.07,1007.37,79.89,441.05
11.76,40.96,1023.22,81.31,475.18
20.1,59.87,1018.97,87.23,444.71
24.05,67.83,1009.35,63.8,442.53
24.04,59.43,1007.6,76.98,437.51
12.45,37.92,1008.03,61.87,470.59
23.53,50.05,1005.63,78.4,443.71
22.33,45.87,1007.8,63.61,447.02
23.64,70.04,1011.09,83.35,435.21
27.86,65.18,1012.87,55.53,436.26
20.3,67.32,1013.49,80.9,441.51
27.06,72.58,1009.24,90.31,429.18
14.29,46.18,1017.01,87.29,464.73
17.13,42.86,1014.15,73.6,463.09
23.09,45.01,1012.25,43.95,453.45
10.59,37.5,1013.14,81.56,471.38
26.88,79.74,1006.54,93.7,434.77
16.54,42.86,1014.85,78,465.26
5.72,39.33,1009.96,95.4,490.76
18.15,58.46,1017.42,88.24,449.48
19.17,52.9,1016.56,65.23,458.59
23.94,59.39,1014.32,74.55,438.64
13.9,41.17,1016.84,72.9,468.96
15.54,41.23,995.45,83.73,463.06
27.19,71.32,1008.97,88.43,437.92
7.09,39.37,1020.07,73.26,487
8.35,40.46,1019.23,73.26,474.79
7.19,39.37,1019.67,70.77,480.4
13.07,43.13,1016.93,70.02,471.47
18.68,53.29,1018.16,75.01,459.89
10.1,41.58,1021.26,94.06,468.19
16.32,43.14,1014.72,70.43,465.38
27.45,59.74,1011.34,58.58,450.46
22.41,70.98,1005.67,95.03,441.51
19.49,46.63,1013.11,88.01,451.31
28.72,76.86,999.31,71.74,431.74
21.34,51.61,1010.11,80.7,452
10.48,36.71,1023.18,81.37,473.3
28.94,71.64,1006.59,69.24,438.96
25.25,62.91,1012.51,62.64,443.14
21.32,45.01,1012.23,59.94,452.75
26.14,72.99,1007.49,81.72,433.25
14.75,41.16,1009.58,86.96,468.14
26.49,78.92,1010.82,83.42,434.91
14.85,58.59,1014.04,89.85,454.62
31.28,69.51,1010.09,36.85,429.29
14.65,41.92,1030.61,63.07,464.95
28.44,69.4,1003.98,73.51,433.44
25.99,59.54,1007.78,74.48,441.32
26.96,69.45,1013.89,51.47,436.69
26.17,59.92,1010.01,73.75,444.96
13.78,39.85,1012.7,71.99,474.9
12.5,41.38,1021.87,57.59,474.4
23.19,58.82,1009.96,81.05,446.44
13.93,44.21,1022.26,82.4,469.12
12.93,45.51,1015.27,87.27,469.83
28.98,62.66,1009.1,52.62,438.45
15.11,40.71,1017.96,69.31,465.42
31.94,74.99,1002.05,34.12,440.17
10.17,40.1,1014.05,91.9,479.58
24.86,65.34,1012.99,60.33,447.25
22.51,68.63,1015.1,57.19,450.75
21.38,58.33,1013.05,72.75,446.8
7.94,40.6,1015.3,92.14,486.33
20.14,46.33,1013.24,83.39,453.35
13.56,42.34,1017.95,93.83,462.6
6.65,40.69,1020.11,89.84,479.35
19.99,65.94,1012.28,75.42,447.22
19.02,52.72,1025.44,51.9,461.57
10.48,41.93,1017.17,92.81,480.01
13.6,39.82,1013.34,86.1,470.69
28.31,74.34,998.42,79.23,431.95
11.54,45,1022.77,80.79,482.34
19.78,44.71,1015.7,29.43,465.49
30.74,79.05,1005.78,73.19,430.69
14.92,46.18,1014.21,98.82,465.63
5.47,38.68,1017.33,72.71,485.7
9.96,41.55,1002.59,65.86,475.91
35.01,74.67,1016.1,26.3,428.48
11.01,43.69,1016.7,81.48,477.3
25.67,58.59,1013,62.34,451.03
32.15,69.98,1013.3,55.13,429.86
29.75,70.32,1007.35,55.8,427.2
8.05,40.8,1028.01,89.56,483.43
29.14,75.23,1010.15,54.87,434.82
15.95,42.24,1017.71,69.32,465.35
11.7,43.41,1016.08,62.27,467.51
19.7,43.79,1015.93,47.39,464.41
28.27,66.56,1007.36,55.99,433.52
24.33,46.93,1013.51,52.63,449.07
19.68,44.34,1019.49,49.5,468.27
20.92,49.15,1021.15,49.76,455.32
7.24,41.17,1020.35,80.56,486.76
11.69,39.22,1017.05,55.51,472.76
23.09,69.71,1009.75,91.35,437.7
9.16,42.44,1014.43,93.67,480.98
22.42,59.43,1007.12,90.56,440.99
24.51,51.95,1005.57,63.53,449.73
7.14,44.71,1019.98,71.9,487.71
24.61,69.68,1012.06,92.47,438.51
26.84,70.36,1007.41,71.47,442.17
23.89,50.16,1004.88,73.94,444.99
24.01,63.56,1014.19,64.31,444.1
20.33,57.76,1016.47,75.35,450.25
26.27,71.98,1005.72,86.15,427.65
10.22,39.96,1025.05,96.05,471.36
15.07,39.82,1012.78,84.46,471.31
